state,cd,winner
"AL",1,"R"
"AL",2,"D"
"AL",3,"R"
"AL",4,"R"
"AL",5,"R"
"AL",6,"R"
"AL",7,"D"
"AK",1,"R"
"AZ",1,"R"
"AZ",2,"R"
"AZ",3,"D"
"AZ",4,"D"
"AZ",5,"R"
"AZ",6,"R"
"AZ",7,"D"
"AZ",8,"R"
"AZ",9,"R"
"AR",1,"R"
"AR",2,"R"
"AR",3,"R"
"AR",4,"R"
"CA",1,"R"
"CA",2,"D"
"CA",3,"R"
"CA",4,"D"
"CA",5,"R"
"CA",6,"D"
"CA",7,"D"
"CA",8,"D"
"CA",9,"D"
"CA",10,"D"
"CA",11,"D"
"CA",12,"D"
"CA",13,"R"
"CA",14,"D"
"CA",15,"D"
"CA",16,"D"
"CA",17,"D"
"CA",18,"D"
"CA",19,"D"
"CA",20,"R"
"CA",21,"D"
"CA",22,"R"
"CA",23,"R"
"CA",24,"D"
"CA",25,"D"
"CA",26,"D"
"CA",27,"R"
"CA",28,"D"
"CA",29,"D"
"CA",30,"D"
"CA",31,"D"
"CA",32,"D"
"CA",33,"D"
"CA",34,"D"
"CA",35,"D"
"CA",36,"D"
"CA",37,"D"
"CA",38,"D"
"CA",39,"D"
"CA",40,"R"
"CA",41,"R"
"CA",42,"D"
"CA",43,"D"
"CA",44,"D"
"CA",45,"R"
"CA",46,"D"
"CA",47,"D"
"CA",48,"R"
"CA",49,"D"
"CA",50,"D"
"CA",51,"D"
"CA",52,"D"
"CO",1,"D"
"CO",2,"D"
"CO",3,"R"
"CO",4,"R"
"CO",5,"R"
"CO",6,"D"
"CO",7,"D"
"CO",8,"R"
"CT",1,"D"
"CT",2,"D"
"CT",3,"D"
"CT",4,"D"
"CT",5,"D"
"DE",1,"D"
"FL",1,"R"
"FL",2,"R"
"FL",3,"R"
"FL",4,"R"
"FL",5,"R"
"FL",6,"R"
"FL",7,"R"
"FL",8,"R"
"FL",9,"D"
"FL",10,"D"
"FL",11,"R"
"FL",12,"R"
"FL",13,"R"
"FL",14,"D"
"FL",15,"R"
"FL",16,"R"
"FL",17,"R"
"FL",18,"R"
"FL",19,"R"
"FL",21,"R"
"FL",22,"D"
"FL",23,"D"
"FL",24,"D"
"FL",25,"D"
"FL",26,"R"
"FL",27,"R"
"FL",28,"R"
"GA",1,"R"
"GA",2,"D"
"GA",3,"R"
"GA",4,"D"
"GA",5,"D"
"GA",6,"D"
"GA",7,"R"
"GA",8,"R"
"GA",9,"R"
"GA",10,"R"
"GA",11,"R"
"GA",12,"R"
"GA",13,"D"
"GA",14,"R"
"HI",1,"D"
"HI",2,"D"
"ID",1,"R"
"ID",2,"R"
"IL",1,"R"
"IL",2,"D"
"IL",3,"D"
"IL",4,"D"
"IL",5,"D"
"IL",6,"D"
"IL",7,"D"
"IL",8,"D"
"IL",9,"D"
"IL",10,"D"
"IL",11,"D"
"IL",12,"R"
"IL",13,"D"
"IL",14,"D"
"IL",15,"R"
"IL",16,"R"
"IL",17,"R"
"IN",1,"D"
"IN",2,"R"
"IN",3,"R"
"IN",4,"R"
"IN",5,"R"
"IN",6,"R"
"IN",7,"D"
"IN",8,"R"
"IN",9,"R"
"IA",1,"R"
"IA",2,"R"
"IA",3,"R"
"IA",4,"R"
"KS",1,"R"
"KS",2,"R"
"KS",3,"D"
"KS",4,"R"
"KY",1,"R"
"KY",2,"R"
"KY",3,"D"
"KY",4,"R"
"KY",5,"R"
"KY",6,"R"
"LA",1,"R"
"LA",2,"D"
"LA",3,"R"
"LA",4,"R"
"LA",5,"R"
"LA",6,"D"
"MD",1,"R"
"MD",2,"D"
"MD",3,"D"
"MD",4,"D"
"MD",5,"D"
"MD",6,"D"
"MD",7,"D"
"MD",8,"D"
"MI",1,"R"
"MI",2,"R"
"MI",3,"D"
"MI",4,"R"
"MI",5,"R"
"MI",6,"D"
"MI",7,"R"
"MI",8,"D"
"MI",9,"R"
"MI",10,"R"
"MI",11,"D"
"MI",12,"D"
"MI",13,"D"
"MN",1,"R"
"MN",2,"D"
"MN",3,"D"
"MN",4,"D"
"MN",5,"D"
"MN",6,"R"
"MN",7,"R"
"MN",8,"R"
"MO",1,"D"
"MO",2,"R"
"MO",3,"R"
"MO",4,"R"
"MO",5,"D"
"MO",6,"R"
"MO",7,"R"
"MO",8,"R"
"MT",1,"R"
"MT",2,"R"
"NE",1,"R"
"NE",2,"R"
"NE",3,"R"
"NV",1,"D"
"NV",2,"R"
"NV",3,"D"
"NV",4,"D"
"NH",1,"D"
"NH",2,"D"
"NJ",1,"D"
"NJ",2,"R"
"NJ",3,"D"
"NJ",4,"R"
"NJ",5,"D"
"NJ",6,"D"
"NJ",7,"R"
"NJ",8,"D"
"NJ",9,"D"
"NJ",10,"D"
"NJ",11,"D"
"NJ",12,"D"
"NM",1,"D"
"NM",2,"D"
"NM",3,"D"
"NY",1,"R"
"NY",2,"R"
"NY",3,"D"
"NY",4,"D"
"NY",5,"D"
"NY",6,"D"
"NY",7,"D"
"NY",8,"D"
"NY",9,"D"
"NY",10,"D"
"NY",11,"R"
"NY",12,"D"
"NY",13,"D"
"NY",14,"D"
"NY",15,"D"
"NY",16,"D"
"NY",17,"R"
"NY",18,"D"
"NY",19,"D"
"NY",20,"D"
"NY",21,"R"
"NY",22,"D"
"NY",23,"R"
"NY",24,"R"
"NY",25,"D"
"NY",26,"D"
"NC",1,"D"
"NC",2,"D"
"NC",3,"R"
"NC",4,"D"
"NC",5,"R"
"NC",6,"R"
"NC",7,"R"
"NC",8,"R"
"NC",9,"R"
"NC",10,"R"
"NC",11,"R"
"NC",12,"D"
"NC",13,"R"
"NC",14,"R"
"ND",1,"R"
"OH",1,"D"
"OH",2,"R"
"OH",3,"D"
"OH",4,"R"
"OH",5,"R"
"OH",6,"R"
"OH",7,"R"
"OH",8,"R"
"OH",9,"D"
"OH",10,"R"
"OH",11,"D"
"OH",12,"R"
"OH",13,"D"
"OH",14,"R"
"OH",15,"R"
"OK",1,"R"
"OK",2,"R"
"OK",4,"R"
"OK",5,"R"
"OR",1,"D"
"OR",2,"R"
"OR",3,"D"
"OR",4,"D"
"OR",5,"D"
"OR",6,"D"
"PA",1,"R"
"PA",2,"D"
"PA",3,"D"
"PA",4,"D"
"PA",5,"D"
"PA",6,"D"
"PA",7,"R"
"PA",8,"R"
"PA",9,"R"
"PA",10,"R"
"PA",11,"R"
"PA",12,"D"
"PA",13,"R"
"PA",14,"R"
"PA",15,"R"
"PA",16,"R"
"PA",17,"D"
"RI",1,"D"
"RI",2,"D"
"SC",1,"R"
"SC",2,"R"
"SC",3,"R"
"SC",4,"R"
"SC",5,"R"
"SC",6,"D"
"SC",7,"R"
"SD",1,"R"
"TN",1,"R"
"TN",2,"R"
"TN",3,"R"
"TN",4,"R"
"TN",5,"R"
"TN",6,"R"
"TN",7,"R"
"TN",8,"R"
"TN",9,"D"
"TX",1,"R"
"TX",2,"R"
"TX",3,"R"
"TX",4,"R"
"TX",5,"R"
"TX",6,"R"
"TX",7,"D"
"TX",8,"R"
"TX",9,"D"
"TX",10,"R"
"TX",11,"R"
"TX",12,"R"
"TX",13,"R"
"TX",14,"R"
"TX",15,"R"
"TX",16,"D"
"TX",17,"R"
"TX",18,"D"
"TX",19,"R"
"TX",20,"D"
"TX",21,"R"
"TX",22,"R"
"TX",23,"R"
"TX",24,"R"
"TX",25,"R"
"TX",26,"R"
"TX",27,"R"
"TX",28,"D"
"TX",29,"D"
"TX",30,"D"
"TX",31,"R"
"TX",32,"D"
"TX",33,"D"
"TX",34,"D"
"TX",35,"D"
"TX",36,"R"
"TX",37,"D"
"TX",38,"R"
"UT",1,"R"
"UT",2,"R"
"UT",3,"R"
"UT",4,"R"
"VT",1,"D"
"VA",1,"R"
"VA",2,"R"
"VA",3,"D"
"VA",4,"D"
"VA",5,"R"
"VA",6,"R"
"VA",7,"D"
"VA",8,"D"
"VA",9,"R"
"VA",10,"D"
"VA",11,"D"
"WA",1,"D"
"WA",2,"D"
"WA",3,"D"
"WA",4,"R"
"WA",5,"R"
"WA",6,"D"
"WA",7,"D"
"WA",8,"D"
"WA",9,"D"
"WA",10,"D"
"WV",1,"R"
"WV",2,"R"
"WY",1,"R"
